language_id|majorType_id|name|description
nb|H4|Sterkt endrete marine vannmasser|Sterkt endrete marine vannmasser omfatter vannmassene i fysisk avgrensete saltvannsforekomster (fjorder, poller og litoralbasseng) som har fått sin artssammensetning og økologiske funksjon sterkt og irreversibelt endret gjennom fysiske (regulering av terskelhøyde for poller etc.), kjemiske inngrep (irreversibel forurensning, eutrofiering etc.) eller biologiske inngrep (utsetting av fiskearter, rømming fra fiskeoppdrettsanlegg el.l. som gjennomgripende har endret den trofiske strukturen og dermed artssammensetningen, etc.), samt vannmassene i kunstige vannforekomster (saltvannsbasseng, saltverk, friluftsakvarier etc.). Sterkt endret bunn medfører ikke nødvendigvis at vannmassene skal karakteriseres som sterkt endret.
en|I1|Permanent snow and ice|Permanent snow and ice comprises ground that is snow and ice-covered for several years, including glaciers and snowdrifts.
nb|I1|Snø- og isdekt fastmark|Snø- og isdekt fastmark omfatter fastmarksarealer som er dekt av snø og/eller is, det vil si breer og snøansamlinger. Få, spesialtilpassete arter lever på og i varig snø og is, blant andre snøalger [f.eks. rød snø (Chlamydomonas nivalis)]. En del insektarter med stor kuldetoleranse oppholder seg på is og snø i perioder, men ingen kjente dyr gjennomfører hele sin livssyklus i eller på snø og is.
en|I2|Polar sea-ice|Polar sea-ice comprises the surface of the Arctic Ocean that is permanently covered with ice, including the species that live on or in it or that have immediate contact with the lower side of the sea ice.
nb|I2|Polar havis|"Polar havis omfatter iskappen som dekker sentrale deler av Polhavet og det livet som er direkte knyttet til denne; som lever på, i og på eller i direkte tilknytning til undersiden av denne. Den arktiske haviskappen har størst utbredelse i mars, mens havis dekker ca. 30 % av maksimalutbredelsen i september (om lag 5 mill. km2). I gjennomsnitt for de siste 30 årene har havisens utstrekning på ettersommeren krympet med ca. 1 % pr. år.\nPolar havis er levested ikke bare for isbjørn (Ursus maritimus), men for en rekke spesialiserte arter som har tilhold under isen og som tidvis fryser inn i isen, f.eks. ‘isalger’ (for det meste kiselalger, men også andre algeklasser) og små krepsdyr (amfipoder)."
en|L1|Euphotic freshwater rock|Euphotic freshwater rock includes rockwalls, outcrops and stable boulder- and stone-beds in rivers and the euphotic belt of lakes. Mosses and liverworts (Bryophyta), benthic macroscopic and microscopic green algae and several animal groups, such as dayflies (Ephemeroptera), stoneflies (Plecoptera) and caddisflies (Trichoptera), are dominant organism groups.
nb|L1|Eufotisk fast ferskvannsbunn|Eufotisk fast ferskvannsbunn omfatter elvebunn og innsjøbunn med stabilt bunnsubstrat og tilstrekkelig lysinnstråling til at nettofotosyntesen er positiv. Eufotisk fast ferskvannsbunn omfatter fast fjell og, i innsjøer og elver med svak strøm, også blokk- og steindominert bunn. Karplantevegetasjon mangler vanligvis. Påvekstsamfunnene domineres av moser og/eller grønnalger. Samfunn av insekter, f.eks. steinfluer (Plecoptera) og vårfluer (Trichoptera), kan forekomme.
en|L2|Euphotic freshwater sediment |Euphotic freshwater sediment comprises soft sediments in rivers and lakes, ranging from predominantly inorganic (clay, silt, sand and gravel, in fast-flowing rivers also stone- and boulder-beds) to predominantly organic (dy and gyttja at the bottom of small tarns, and peat at the bottom of flark pools and hollow pools in mires). Vascular plants may occur, but sites dominated by macrohelophytes constitute a separate major type (L4). A considerable diversity of animal communities is found in this major type.
nb|L2|Eufotisk limnisk sedimentbunn|Eufotisk limnisk sedimentbunn omfatter elvebunn og innsjøbunn med tilstrekkelig lysinnstråling til at nettofotosyntesen er positiv, på overveiende organisk sediment, myrtorv eller på ustabilt, overveiende uorganisk bunnsediment. Eufotisk limnisk ferskvannsbløtbunn omfatter sedimenter dominert av stein i svært strømutsatte elver, samt grus og sand, silt og leirbunn i innsjøer og elver. Med unntak av de groveste substratene, som har svært sparsom vegetasjon, kan karplanter finnes (f.eks. ‘pusleplanter’ på leirbunn). Uavhengig av sediment-type inngår ikke bestander av store sumpplanter (makrohelofytter) i denne hovedtypen.
en|L3|Aphotic freshwater sediment|Aphotic freshwater sediment comprises soft sediments, often with high organic matter content, below the compensation point of lakes. Plants are absent, various animal communities may occur. Animal species richness is lower than in the euphotic belt.
nb|L3|Afotisk limnisk sedimentbunn|Afotisk (mørk) limnisk sedimentbunn omfatter bunntilknyttete natursystemer på større dyp enn kompensasjonsdypet, i innsjøer der bunnvannet ikke regelmessig gjennomgår stagnasjonsperioder med så sterk oksygenmangel at det gir seg utslag i artssammensetningen (hypoksi eller anoksi).  Fordi nesten alt materialet som tilføres den mørke innsjøbunnen sedimenteres, består afotisk limnisk sedimentbunn vanligvis av fine sedimenter i lag med varierende tykkelse og varierende organisk innhold. Bunndyrfaunaen i den afotiske beltet (profundalbeltet) er svært artsfattig, og inneholder foruten bakterier også blant annet detritusspisende insektlarver [f.eks. av fjærmygg (Chironomidae) og svevemygg (Chaboridae)], fåbørstemark (Oligochaeta) og småmuslinger (Mollusca). Fordi all næringstilførsel til den afotiske bunnen må tilføres ovenfra, regulerer mengden av og kvaliteten på det tilførte organiske materialet produksjonen i dypbunnsamfunnene. Redusert oksygeninnhold under vinterstagnasjonen kan bidra til å begrense produksjonen ytterligere. Produktiviteten er gjennomgående mye lavere på afotisk enn på eufotisk bunn. En viktig tilpasning til det afotiske bunnmiljøet er at mange arter bruker lengre tid på å gjennomføre sin livssyklus.
en|L4|Freshwater swamp|Freshwater swamp comprises dense, macrohelophyte-dominated stands in shallow lakes and slow-flowing rivers, also including extensions of the helophyte belt upwards into the adjacent geolittoral belt. Communities dominated by one single species, e.g. Phragmites australis, Schoenoplectus lacustris, Typha spp. and Carex spp., are common.
nb|L4|Helofytt-ferskvannssump|Helofytt-ferskvannssump omfatter tette bestander av makrohelofytter, det vil si storvokste sumpplanter [helofytt defineres som ‘plante som er tilpasset et liv i eller i nær tilknytning til vann (ferskvannsbunn, saltvannsbunn og/eller fjærebeltemark/bunn og/eller våtmark) gjennom forekomst av luftekanaler i rot, stengel og/eller blad; rota eller rotstokken kan mer eller mindre permanent stå i vann mens blader og blomster rager opp i lufta’], omkring eller under grensa mellom ferskvannssystem og fastmarks- eller våtmarkssystem. Makrohelofyttene skaper et spesielt livsmiljø både for påvekstorganismer og bunndyr, slik at helofyttbeltet totalt sett har en artssammensetning som er vesentlig forskjellig fra samfunn uten karplanter eller med mer spredtvoksende karplanter eller karplanter tilhørende andre livs- og vekstformer. Helofytt-ferskvannssump kan forekomme i kombinasjon med et relativt vidt spekter av sedimentegenskaper, og kan ikke entydig predikeres ut fra miljøforholdene. Det er sannsynlig at tilfeldigheter i spredning og etablering har betydning for hvor det finnes helofytt-ferskvannssump.
en|L5|Freshwater spring|Freshwater spring includes bottoms of springs, streams, rivers and lakes that are clearly influenced by supply of oxygen-rich (rheogenous) water, i.e. water with nearly constant temperature, chemical composition and flow rates throughout the day and the year, housing distinctive communities.
nb|L5|Ferskvannskildebunn|Ferskvannskildebunn omfatter bunn i grunnkilder, torvmarkskilder, bekker, elver og innsjøer som tydelig influeres av konsentrerte grunnvannsframspring (kildevann). Fordi grunnvannet i sterke kilder har nær konstant temperatur gjennom døgnet og året, skiller leveforholdene i og nær ferskvannskildebunn seg markert fra leveforholdene på annen ferskvannsbunn. På det norske fastlandet er kildevannet vanligvis kjøligere enn vann for øvrig. Artsmangfoldet i og ved ferskvannskildebunn er derfor lavere enn i tilstøtende områder uten kildevannspåvirkning, og kuldetilpassete arter dominerer. Innsjø- og elvekildebunn skiller seg fra grunnkilde- og torvmarkskildebunn ved å være del av større vannsystemer, som har betydning for artstilfanget.
en|L6|Anoxic freshwater sediment|Anoxic freshwater sediment borders on oxygen-free, stagnant bottom waters of deep meromictic lakes. Sediments adjacent to periodically anoxic or oxygen-reduced (hypoxic) bottom waters, which also have a species composition that differs substantially from that of normal, circulating (mictic) lakes, are also included in this major type. While anoxia causes a general reduction of species richness, some organisms, e.g. sulphur bacteria, are adapted to life in oxygen-poor environments.
nb|L6|Afotisk limnisk sedimentbunn preget av oksygenmangel|Afotisk limnisk sedimentbunn preget av oksygenmangel omfatter bunnsystemer i meromiktiske innsjøer (innsjøer uten utskifting av bunnvannet, det vil si med permanent stagnerende bunnvann) samt bunnsystemer i innsjøer der forholdene nær bunnen er anoksiske i perioder som er lange nok til at artssammensetningen er vesentlig endret (ved bl.a. fiskedød) i forhold til normal innsjøbunn. Anoksi forårsaker først og fremst reduksjon i artstilfang og artsrikdom, men noen spesialtilpassete arter kommer også til, f.eks. svovelbakterier
en|L7|Strongly altered or artificial hard freshwater substrate|Strongly altered or artificial hard freshwater substrate includes substrates that are altered by human actions or new, e.g. concrete, glass and steel. This major type includes permanent or temporary constructions such as quays, piers, hydropower dams and plants and bridge foundations and irreversibly changed former terrestrial land such as reservoir embankments.
nb|L7|Sterkt endret eller ny fast ferskvannsbunn|"Sterkt endret fast ferskvannsbunn omfatter hovedsakelig ferskvannsbunn som er vesentlig endret ved vassdragsregulering eller irreversibelt inngrep på sted der det tidligere var fastmark, f.eks. ved permanent oppdemming eller sterk regulering av vassdrag.   Sterkt endret eller ny fast ferskvannsbunn dekker vanligvis små arealer, med unntak av store kraftmagasiner. Neddemt fastmark gjennomgår rask suksesjon dersom ikke helt spesielle forhold retarderer suksesjonshastigheten. Sterkt regulerte innsjøer og elver får gjerne sterkt redusert artstilfang, av de fleste organismegrupper (Saltveit 2006, Mjelde et al. 2013). \n\tHovedtypen omfatter også nye ferskvannsbunnsubstrater, f.eks. framkommet ved bygging av større installasjoner (demninger, kraftverk, moloer, brygger etc.)"
en|L8|Strongly altered or artificial freshwater sediment|Strongly altered or artificial freshwater sediment includes soft substrates in lakes and rivers that are altered by human intervention as well as new soft substrates, e.g. in artificial lakes and farm ponds constructed on former wetland or terrestrial land. Sediments that belong to this major type may result from landfill operations, regulation of rivers and lakes, deposition of sewage sludge and industrial, mining or other wastes.
nb|L8|Sterkt endret eller ny limnisk sedimentbunn|Sterkt endret limnisk sedimentbunn omfatter bunn i innsjøer, elver og kilder som er vesentlig endret ved deponering eller fjerning av masser eller ved vassdragsregulering, og ny limnisk sedimentbunn oppstått gjennom irreversibelt inngrep på sted der det tidligere var fastmark eller våtmark. Sterkt endret eller ny limnisk sedimentbunn dekker vanligvis små arealer, med unntak av store kraftmagasiner. Neddemt fastmark eller våtmark, og sterkt endret bunn oppstått ved deponering eller uttak av masser, gjennomgår rask suksesjon dersom ikke helt spesielle forhold retarderer suksesjonen eller senker suksesjonshastigheten sterkt. Sterkt regulerte innsjøer og elver får gjerne sterkt redusert artstilfang, av de fleste organismegrupper (Saltveit 2006, Mjelde et al. 2013).
en|M10|Marine cave and overhang|Marine caves are natural cavities in bedrock, situated in the tidal belt or below low tide. Overhangs are rock walls with inclination > 90°. The surface of caves and overhangs receive less incident radiation and have more stable environmental conditions than marine rock at similar depths.
nb|M10|Marin grotte og overheng|Ei grotte (hule) er et naturlig hulrom i fjell. Liksom på land utmerker marine grotter (inkludert brenningsgrotter, det vil si grotter i tidevannsbeltet) seg med spesielle leveforhold for organismer. Marine grotter får redusert lys i forhold til fast saltvannsbunn på tilsvarende dyp, og har mer stabilt miljø (f.eks. lavere vannpåvirkningsintensitet) enn normal fast saltvannsbunn. Grotter gir dermed god beskyttelse for fisk, larver etc. Som på land, er spesialiserte organismer, f.eks. krepsdyr uten pigmenter, kjent fra marine grotter. Artssammensetningen i marine grotter er dårlig undersøkt i Norge.
en|M11|Marine cold seep|Marine cold seeps are soft seabeds influenced by seepage of water and/or gases, e.g., hydrogen sulphide or methane. The fluid has the same temperature or is only slightly warmer than the adjacent water. Marine cold seeps vary from temporal and unstable pockmarks to stable cold seeps and also includes mud volcanoes, formed by emergence of gas-filled mud.
nb|M11|Kaldt gassoppkomme|"Kald havkildebunn (cold seep) omfatter sedimentbunn nær et oppkomme av gasser og/eller væsker på havbunnen, hvor materialet som strømmer ut ikke har så en temperatur så mye høyere enn havvannets temperatur på stedet at artssammensetningen påvirkes i betydelig grad. Kald utstrømming finner sted som resultat av geofysiske og/eller geokjemiske prosesser i havbunnen, og forekommer med stor variasjon i intensitet og varighet; fra temporære og/eller ustabile utstrømmingsområder (pockmarks) som gjerne er synlige på havbunnen som større eller mindre groper, til stabile, varige havkilder (cold seeps). Utstrømmingsmaterialet består primært av porevann som trykkes opp når sedimentære bergarter presses sammen av sin egen vekt og gasser (CO2, CH4, H2, H2S etc.), men lite sedimentmateriale.  Når utstrømmingen av væske og/eller gass er sterk (cold seeps) kan bunnsedimentene omkring utstrømmingspunktet (som vanligvis består av løst mudder) være svært ustabile. Mikrobiologiske og kjemiske prosesser i oppkommene kan imidlertid føre til dannelse av kalsiumkarbonatskorper som kan fungere som substrat for hardbunnsorganismer. Karbonatskorpene variasjon i overflatemorfologi på fin skala gjør dem til et spesielt substrat for fastsittende organismer. I spesielle tilfeller, kanskje betinget av særlig sterk utstrømming, kan utstrømmingsmaterialet inneholde store mengder gassfylt leire. Sedimentbunnen blir da svært løs og resultatet blir en muddervulkan (KT∙B). Det ‘klassiske’ eksemplet på en muddervulkan er Håkon Mosby muddervulkan på 1250 m dyp sør for Bjørnøya. Oppkommer med avvikende eller intermediær kjemisk sammensetning finnes også. Den kjemiske sammensetningen av utstrømmingsmaterialet påvirkes betydelig av innholdet av kjemisk løsbare stoffer i løsmassene og/eller sedimentbergartene som materialet passerer gjennom.\n\tDet er ikke påvist klart forskjellig fauna mellom små pockmarks og øvrig sedimentbunn, men cold seeps med karbonatskorper har en karakteristisk bakterieflora og en del arter som lever på og av bakteriene. På Håkon Mosby muddervulkan finnes foruten bakterier også spesialiserte evertebrater (som utnytter metan) og fiskearter som er i stand til å leve på slike steder, men som også finnes i andre miljøer (og kanskje egentlig har sin hovedforekomst der)."
en|M12|Hydrothermal vent|Hydrothermal vents are fissures in rocky seabed in volcanically active areas from which geothermally heated water, e.g., water that has been in contact with volcanic lava, emerges. When hot, mineral-rich water meets the cold ambient seawater, dissolved minerals may precipitate to form new hard-substrate structures. Hydrothermal vents are found in volcanically active areas, e.g., along the North Atlantic ridge north east of Jan Mayen. Hydrothermal vents are biologically productive ecosystems which, among others, host specialised communities of chemosynthetic bacteria.
nb|M12|Varm havkilde|Varm havkildebunn omfatter områder på fast havbunn (eventuelt med flekker av sedimentbunn) som påvirkes av utstrømming av vann, gasser, andre væsker eller magma, med vesentlig høyere temperatur enn havvannet på stedet. Utstrømming av oppvarmet væske eller gass er resultatet av at havvann sirkulerer fra havbunnen ned til varme vulkanske masser opptil flere kilometer under havbunnen og opp igjen. Varm utstrømming finner først og fremst sted langs midthavsrygger med havbunnsspredning; i norske farvann spredt langs hele den atlantiske midthavsryggen. Avhengig av materialmengden, materialets kjemiske sammensetning og temperatur framviser varme havkilder stor og til dels sterkt områdespesifikk variasjon i artssammensetning, typisk med meget spesielle organismesamfunn der bakterier spiller en viktig rolle. Utstrømmingsmaterialet kan ha temperaturer opp til flere hundre °C, men ingen organismer kan leve sittende på substrater varmere enn 100 °C. Ved temperaturer over ca. 50 °C finnes stort sett bare bakterier.
en|M13|Anoxic marine sediment|Anoxic marine sediment occurs in fjords and estuaries where restricted water exchange, often also lack of circulation, result in periodically (hypoxic) or permanently oxygen-free (anoxic) conditions near the bottom. Organisms adapted to anaerobic conditions prevail.
nb|M13|Marin sedimentbunn preget av oksygenmangel|Marin sedimentbunn preget av oksygenmangel omfatter bunnsystemer i fjorder og poller der mangelfull vannsirkulasjon fører til permanent oksygenfrie (anoksiske) bunnforhold. Fordi anoksiske forhold forutsetter mangelfull vannsirkulasjon, er anoksisk saltvannsbunn først og fremst assosiert med lav vannbevegelse og domineres derfor av sedimentbunn, men kombinasjonen av anoksiske forhold og fast bunn forekommer også. Permanent anoksisk saltvannsbunn har en særpreget artssammensetning fordi artene som lever der må kunne tolerere (eller foretrekke) oksygenfrie forhold. Framvaren (Farsund, Vest-Agder) er et klassisk eksempel på en vannforekomst dominert av anoksisk sedimentbunn. Periodisk og permanent anoksi forårsaker først og fremst reduksjon i artstilfang og artsrikdom, men noen spesialtilpassete arter kommer også til, f.eks. svovelbakterier.
en|M14|Strongly altered or artificial hard marine substrate|Strongly altered or artificial hard marine substrate includes a large variety of substrates that are altered by human intervention and new substrates, e.g., concrete, glass and steel. This major type includes permanent structures such as constructed port facilities and temporary installations such as oil rigs, pipelines and offshore wind-power farms.
nb|M14|Sterkt endret eller ny fast saltvannsbunn|Sterkt endret eller ny fast saltvannsbunn omfatter saltvannsbunn som er vesentlig endret ved irreversibelt inngrep, f.eks. havneutbygging, installasjoner (oljerigger, offshore vindmølleanlegg). Sterkt endret eller ny fast saltvannsbunn dekker vanligvis små arealer, og gjennomgår rask suksesjon mot en artssammensetning typisk for sammenliknbar naturlig fast saltvannsbunn dersom ikke helt spesielle forhold er til hinder for suksesjonen (glatt overflate, vedlikehold, etc.).
en|M15|Strongly altered or artificial marine sediment|Strongly altered or artificial marine sediment includes soft seabeds that are altered by human intervention as well as new sediments. Sediments that belong to this major type may result, e.g., deposition of sewage sludge and industrial, mining or other wastes, construction of artificial sand beaches and exposure of new sediments by dredging.
nb|M15|Sterkt endret eller ny marin sedimentbunn|Sterkt endret eller ny marin sedimentbunn omfatter havbunn som er vesentlig endret ved deponering eller fjerning av masser, f.eks. nyanlagte badestrender, deponier for kjemisk avfall og overskuddsmasser fra gruvedrift. Sterkt endret eller ny marin sedimentbunn dekker vanligvis små arealer og kan gjennomgå rask suksesjon dersom forholdene ligger til rette for at organismer skal etablere seg.
en|M1|Euphotic marine rock|Euphotic marine rock includes marine rockwalls, outcrops and stable boulder- and stone-beds in the euphotic belt, which consists of three sub-belts: the sublittoral fringe, the infralittoral belt and the upper circalittoral belt (the latter extends downwards to the compensation point). Green algae and sessile animals dominate in the sublittoral fringe, kelp communities in the infralittoral zone while red algae dominate in the upper circalittoral zone. This major type comprises variation from sheltered via moderately to strongly exposed hard substrates.
nb|M1|Eufotisk fast saltvannsbunn|"Eufotisk fast saltvannsbunn omfatter fast fjell og stabile blokker med permanente samfunn av flerårige alge- og dyrearter, i beltet mellom normalt fjæremål, det vil si nivået som vanligvis konstant fuktes av havvann (upper infralitoral zone), gjennom tareskogsbeltet (lower infralitoral zone) og rødalgebeltet (upper circalitoral zone) ned til kompensasjonsdypet, der lysinnstrålingen er så lav [< 0.3–1(–10) % av lysinnstrålingen på ei åpen havoverflate] at planteproduksjonen er mindre nedbrytningen og alger ikke lenger forekommer regelmessig (netto primærproduksjon går fra å være positiv til å bli negativ). \n\tHovedtypen inneholder både skrånende fast fjell (‘knaus’) og loddrette vegger. Knausene domineres av algesamfunn; på steder med optimale forhold (moderat bølge- og strømpåvirkning, ikke utsatt for direkte bølgeslag eller tørrlegging, gode lysforhold og normal salinitet) finner vi langs hele kysten velutviklete tareskoger [dominert av stortare (Laminaria hyperborea) og sukkertare (Saccharina latissima)]. Mot mindre gunstige kombinasjoner av leveforhold overtar andre arter eller artsgrupper; grønnalger på steder med redusert saltholdighet og/eller liten vannbevegelse og rødalger i dybdebeltet under tareskogsbeltet.  Bergvegger og knauser som er svært sterkt eksponert for bølger eller tidevannsstrømmer har spesielle organismesamfunn som er dominert av heterotrofe organismer som dødningehånd (Alcyonium digitatum) og ulike sekkdyr-arter (Tunicata: Ascidiacea)."
en|M2|Aphotic marine rock|Aphotic marine rock comprises hard substrates below the compensation point, i.e., where light intensities are too low for positive net assimilation by photosynthesis. Algae are absent; various animal communities dominate. Sponges (Porifera) are common. The species composition varies with depth, temperature and nutrient supply. The major type comprises variation from sheltered via moderately to strongly exposed hard substrates, while strongly exposed substrates are rarely found.
