elementarySegment_id|language_id|key|value
FK.b|nb|<class>|saltholdig kildevann
FK.b|nb|<description>|krenogen meromiksis; bunnvann som tilføres saltholdig kildevann
FK.c|en|<class>|ferrous groundwater
FK.c|en|<description>|biogenic / endogenous meromixis; bottom water with reducing conditions and high concentrations of dissolved iron salts
FK.c|nb|<class>|jernholdig bunnvann
FK.c|nb|<description>|biogen/endogen meromiksis; bunnvann med reduserende forhold og høye konsentrasjoner av oppløste jernsalter
FK.d|en|<class>|bottom water with a high lime content
FK.d|en|<description>|biogenic / endogenous meromixis; high salt concentrations and CO2- and CH4-rich groundwater after precipitation of lime
FK.d|nb|<class>|bunnvann med høyt kalkinnhold
FK.d|nb|<description>|biogen/endogen meromiksis; høye saltkonsentrasjoner og CO2- og CH4-rikt bunnvann etter utfelling av kalk
FK.e|en|<class>|humus-rich bottom water
FK.e|en|<description>|biogenic / endogenous meromixis; high salt concentrations and CO2- and CH4-rich groundwater due to large supply of humus
FK.e|nb|<class>|humusrikt bunnvann
FK.e|nb|<description>|biogen/endogen meromiksis; høye saltkonsentrasjoner og CO2- og CH4-rikt bunnvann pga. stor tilførsel av humus
FR.0|en|<class>|normal
FR.0|en|<description>|flood regime characterized by a clear flood peak in the spring during the snowmelt, with a duration of up to a few weeks, and smaller and / or more short-term flood peaks after heavy and / or prolonged rainy episodes
FR.0|nb|<class>|normalt
FR.0|nb|<description>|flomregime som kjennetegnes ved en tydelig flomtopp om våren under snøsmeltingen, med inntil noen ukers varighet, og mindre og/eller mer kortvarige flomtopper etter kraftige og/eller langvarige regnværsepisoder
FR.a|en|<class>|prolonged flooding
FR.a|en|<description>|flood regime characterized by flooding through late winter and spring lasting several months and drying throughout the summer, often also severe dehydration of the field
FR.a|nb|<class>|langvarig oversvømmelse
FR.a|nb|<description>|flomregime som kjennetegnes ved oversvømming gjennom seinvinteren og våren som varer flere måneder og tørrlegging gjennom hele sommeren, ofte også sterk uttørking av marka
GS.0|en|<class>|outside the cave
GS.0|en|<description>|no shielding; habitat without protection against precipitation and other precipitation from above
GS.0|nb|<class>|utenfor grotte
GS.0|nb|<description>|ingen skjerming; levested uten skjerming mot nedbør og annet nedfall ovenfra
GS.a|en|<class>|overhang
GS.a|en|<description>|overhangs under rocks, slopes etc. (slope> 90 °; cavities extending 0–5 m inwards); strongly affected by the environment outside the cave but not directly affected by precipitation and other precipitation from above
GS.a|nb|<class>|overheng
GS.a|nb|<description>|overheng under berg, hellere etc. (helning > 90 °; hulrom som strekker seg 0–5 m innover); sterkt påvirket av miljøet utenfor grotta men ikke direkte påvirket av nedbør og annet nedfall ovenfra
GS.b|en|<class>|outer parts of deep cave
GS.b|en|<description>|fairly strong shielding; significantly affected by fluctuations in the environment outside the cave and usable illuminated
GS.b|nb|<class>|ytre deler av dyp grotte
GS.b|nb|<description>|nokså sterk skjerming; i betydelig grad påvirket av svingninger i miljøet utenfor grotta og brukbart opplyst
GS.cd|en|<class>|middle parts of deep cave
GS.cd|en|<description>|strong shielding; middle part of deep cave or inner part of shallow cave; to some extent affected by fluctuations in the environment outside the cave and dimly lit; An important limit (towards step ¤) is where there is no longer enough light for mosses to grow
GS.cd|nb|<class>|midtre deler av dyp grotte
GS.cd|nb|<description>|sterk skjerming; midtre del av dyp grotte eller indre del av grunn grotte; i noen grad påvirket av svingninger i miljøet utenfor grotta og svakt opplyst; ei viktig grense (mot trinn ¤) er der det ikke lenger er lys nok til at moser kan vokse
GS.¤|en|<class>|inner parts of deep cave
GS.¤|en|<description>|very strong shielding; where the environment is not affected by fluctuations in the environment outside the cave
GS.¤|nb|<class>|indre deler av dyp grotte
GS.¤|nb|<description>|svært sterk skjerming; der miljøet ikke påvirkes av svingninger i miljøet utenfor grotta
HF.0|en|<class>|flat rock
HF.0|en|<description>|Rocks with such a small slope that there is a risk of litter and water accumulating and resulting in 'reverse slope disturbance'
HF.0|en|Slope|<4°
HF.0|nb|<class>|flatberg
HF.0|nb|<description>|Berg med så liten helning at det fare for at strø og vann samler seg opp og resulterer i ‘omvendt helningsbetinget forstyrrelse’ 
HF.0|nb|Helning|<4°
HF.a|en|<class>|slightly sloping rock
HF.a|en|<description>|Rocks with little slope-related disturbance, ie little danger both for the accumulation of litter and water and for the loss of biomass as a result of downward forces acting on the organisms
HF.a|en|Slope|4°-60°
HF.a|nb|<class>|svakt hellende bergknaus
HF.a|nb|<description>|Berg med liten helningsbetinget forstyrrelse, dvs. liten fare både for oppsamling av strø og vann og for tap av biomasse som følge av nedadrettete krefter som virker på organismene
HF.a|nb|Helning|4°-60°
HF.b|en|<class>|strongly sloping rock
HF.b|en|<description>|Rocks with a strong slope and a significant risk of slope-related disturbance
HF.b|en|Slope|60°-80°
HF.b|nb|<class>|sterkt hellende bergknaus
HF.b|nb|<description>|Berg med sterk helning og betydelig fare for helningsbetinget forstyrrelse
HF.b|nb|Helning|60°-80°
HF.+|en|<class>|rock wall
HF.+|en|<description>|Berg med stor fare for helningsbetinget forstyrrelse
HF.+|en|Slope|80°-90°
HF.+|nb|<class>|bergvegg
HF.+|nb|<description>|Berg med stor fare for helningsbetinget forstyrrelse
HF.+|nb|Helning|80°-90°
HI.0|en|<class>|without management
HI.0|en|<description>|natural soil without grazing
HI.0|nb|<class>|uten hevdpreg
HI.0|nb|<description>|naturlig mark uten hevdpreg
HI.a|en|<class>|clearly managed
HI.a|en|<description>|natural land with clear traces of grazing, but which is not normally cleared¸ grazing forest in forest land
HI.a|nb|<class>|tydelig beitepreget
HI.a|nb|<description>|naturlig mark med tydelig spor etter beiting, men som normalt ikke ryddes¸ beiteskog i skogsmark
HI.b|en|<class>|very extensive management
HI.b|en|<description>|semi-natural land which is cleared relatively regularly, at least in part, and which bears the mark of long-term grazing, mowing and / or burning, but with moderate intensity
HI.b|nb|<class>|svært ekstensivt hevdpreg
HI.b|nb|<description>|semi-naturlig mark som relativt regelmessig ryddes, i hvert fall delvis, og som bærer preg av lang tids beiting, slått og/eller brenning, men med moderat intensitet
HI.cd|en|<class>|typically extensive management
HI.cd|en|<description>|semi-natural soil without traces of fertilization, which bears the mark of long-term grazing, mowing and / or burning [c = slightly typical extensive claim; d = strongly typical extensive character]
HI.cd|nb|<class>|typisk ekstensivt hevdpreg
HI.cd|nb|<description>|semi-naturlig mark uten spor etter gjødsling, som bærer preg av lang tids beiting, slått og/eller brenning [c = svakt typisk ekstensivt hevdpreg; d = sterkt typisk ekstensivt hevdpreg]
HI.e|en|<class>|extensive character with a weak touch of fertilization
HI.e|en|<description>|semi-natural soil with traces of fertilization, but which nevertheless has a strong element of species with little or moderate tolerance to fertilization
HI.e|nb|<class>|ekstensivt hevdpreg med svakt preg av gjødsling
HI.e|nb|<description>|semi-naturlig mark med spor etter gjødsling, men som likevel har et sterkt innslag av arter med liten eller moderat toleranse overfor gjødsling
HI.fg|en|<class>|slightly intense management
HI.fg|en|<description>|heavily altered land which is often fertilized regularly, which may have sown agricultural crops, which may be sprayed and which may have traces of plowing
HI.fg|nb|<class>|litt intensivt hevdpreg
HI.fg|nb|<description>|sterkt endret mark som gjerne blir gjødslet regelmessig, som kan ha innsådde jordbruksvekster, som kan bli sprøytet og som kan ha spor etter pløying
HI.hi|en|<class>|rather intense management
HI.hi|en|<description>|heavily altered land that has been cleared, plowed and adapted for mechanical harvesting
HI.hi|nb|<class>|temmelig intensivt hevdpreg
HI.hi|nb|<description>|sterkt endret mark som er ryddet, pløyd og tilrettelagt for maskinell høsting
HI.j|en|<class>|very intense management
HI.j|en|<description>|heavily altered, fully cultivated land
HI.j|nb|<class>|svært intensivt hevdpreg
HI.j|nb|<description>|sterkt endret, fulldyrket mark
HR.0|en|<class>|grazing and / or mowing
HR.0|en|<description>|livestock grazing or mowing or, most often, a combination of these
HR.0|nb|<class>|lyngbrenning
HR.0|nb|<description>|regelmessig foryngelse av det lyngdominerte feltsjiktet gjennom kontrollert avsviing, i kombinasjon med beiting hele eller store deler av året og eventuelt også slått
HR.a|en|<class>|heather burning
HR.a|en|<description>|regular rejuvenation of the heather-dominated field layer through controlled weaning, in combination with grazing all or large parts of the year and possibly also mowing
HR.a|nb|<class>|lyngbrenning
HR.a|nb|<description>|regelmessig foryngelse av det lyngdominerte feltsjiktet gjennom kontrollert avsviing, i kombinasjon med beiting hele eller store deler av året og eventuelt også slått
HU.0|en|<class>|very clear
HU.0|en|<description>|oligohumous
HU.0|en|Pt/L|<10mg
HU.0|en|total content of organic material per litre|<2mg
HU.0|nb|<class>|svært klar
HU.0|nb|<description>|oligohumøs
HU.0|nb|Pt/L|<10mg
HU.0|nb|totalinnhold av organisk materiale per liter|<2mg
HU.a|en|<class>|clear
HU.a|en|<description>|mesohumous
HU.a|en|Pt/L|10mg-30mg
HU.a|en|total content of organic material per litre|2mg-5mg
HU.a|nb|<class>|klar
HU.a|nb|<description>|mesohumøs, pp.
HU.a|nb|Pt/L|10mg-30mg
HU.a|nb|totalinnhold av organisk materiale per liter|2mg-5mg
HU.b|en|<class>|intermediate
HU.b|en|<description>|mesohumous
HU.b|en|Pt/L|30mg-45mg
HU.b|en|total content of organic material per litre|5mg-10mg
HU.b|nb|<class>|intermediær
HU.b|nb|<description>|mesohumøs, pp.
HU.b|nb|Pt/L|30mg-45mg
HU.b|nb|totalinnhold av organisk materiale per liter|5mg-10mg
HU.c|en|<class>|humus
HU.c|en|<description>|polyhumous
HU.c|en|Pt/L|45mg-90mg
HU.c|en|total content of organic material per litre|10mg-15mg
HU.c|nb|<class>|humøs
HU.c|nb|<description>|polyhumøs, pp.
HU.c|nb|Pt/L|45mg-90mg
HU.c|nb|totalinnhold av organisk materiale per liter|10mg-15mg
HU.d|en|<class>|very humorous
HU.d|en|<description>|polyhumous
HU.d|en|Pt/L|>90mg
HU.d|en|total content of organic material per litre|>15mg
HU.d|nb|<class>|svært humøs
HU.d|nb|<description>|polyhumøs, pp.
HU.d|nb|Pt/L|>90mg
HU.d|nb|totalinnhold av organisk materiale per liter|>15mg
IF.0|en|<class>|without ice disturbance
IF.0|en|<description>|without visible traces of ice erosion (on species composition)
IF.0|nb|<class>|uten isforstyrrelsespreg
IF.0|nb|<description>|uten synlige spor etter iserosjon (på artssammensetningen)
IF.a|en|<class>|slightly ice-disturbing
IF.a|en|<description>|weak but observable sign of ice erosion
IF.a|nb|<class>|litt isforstyrrelsespreget
IF.a|nb|<description>|svakt, men observerbart preg av iserosjon
IF.b|en|<class>|clearly ice disturbance
IF.b|en|<description>|clear signs of ice erosion and / or other ice-related disturbance (ice freezing); in ice erosion, less substrate material is added to the substrate by sedimentation than the amount of material eroded away; species composition without or with sparse elements of perennial species
IF.b|nb|<class>|klart isforstyrrelsespreget
IF.b|nb|<description>|klart preg av iserosjon og/eller annen isbetinget forstyrrelse (isinnfrysing); ved iserosjon tilføres substratet mindre nytt materiale ved sedimentasjon enn mengden materiale som eroderes vekk; artssammensetning uten eller med sparsomt innslag av flerårige arter
IF.¤|en|<class>|characterized by disruptive ice disturbance
IF.¤|en|<description>|without stable species composition
IF.¤|nb|<class>|preget av disruptiv isforstyrrelse
IF.¤|nb|<description>|uten stabil artssammensetning
IO.0|en|<class>|predominantly inorganic soil / ground
IO.0|en|<description>|soil / ground which consists almost exclusively of inorganic material; bedrock and sediments
IO.0|en|dead weight (g/cm3)|> 2.0
IO.0|en|% organic matter|< 10
IO.0|nb|<class>|overveiende uorganisk mark/bunn
IO.0|nb|<description>|mark/bunn som nesten utelukkende består av uorganisk materiale; berggrunn og sedimenter
IO.0|nb|egenvekt (g/cm3)|> 2,0
IO.0|nb|% organisk materiale|< 10
IO.a|en|<class>|soil / ground with some organic material
IO.a|en|<description>|soil / bottom with some admixture of organic material
IO.a|en|dead weight (g/cm3)|1.2 - 2.0
IO.a|en|% organic matter|10 - 30
IO.a|nb|<class>|mark/bunn med litt organisk materiale
IO.a|nb|<description>|mark/bunn med en viss innblanding av organisk materiale
IO.a|nb|egenvekt (g/cm3)|1,2 - 2,0
IO.a|nb|% organisk materiale|10 - 30
IO.b|en|<class>|soil / ground with a lot of organic material
IO.b|en|<description>|soil / ground with a high content of organic material
IO.b|en|dead weight (g/cm3)|< 1.2
IO.b|en|% organic matter|30 - 90
IO.b|nb|<class>|mark/bunn med mye organisk materiale
IO.b|nb|<description>|mark/bunn med høyt innhold av organisk materiale
IO.b|nb|egenvekt (g/cm3)|< 1,2
IO.b|nb|% organisk materiale|30 - 90
IO.¤|en|<class>|predominantly organic soil / ground
IO.¤|en|<description>|soil / ground that contains almost exclusively organic material
IO.¤|en|dead weight (g/cm3)|-
IO.¤|en|% organic matter|> 90
IO.¤|nb|<class>|overveiende organisk mark/bunn
IO.¤|nb|<description>|mark/bunn som nesten utelukkende inneholder organisk materiale
IO.¤|nb|egenvekt (g/cm3)|-
IO.¤|nb|% organisk materiale|> 90
JF.0|en|<class>|stable soil
JF.0|en|<description>|without visible traces of soil flow (on species composition)
JF.0|nb|<class>|stabil jord
JF.0|nb|<description>|uten synlige spor etter jordflyt (på artssammensetningen) 
JF.a|en|<class>|observable sign of soil flow
JF.a|en|<description>|faint but observable sign of soil flow; is primarily reflected in a reduced amount of woody plants and other species with low tolerance to soil flow
JF.a|nb|<class>|observerbart preg av jordflyt
JF.a|nb|<description>|svakt, men observerbart preg av jordflyt; gir seg først og fremst utslag i redusert mengde av vedvekster og andre arter med lav toleranse overfor jordflyt
JF.b|en|<class>|floating ground
JF.b|en|<description>|floating soil with dominance of species that have a high tolerance to soil flow (small liverworts, some leaf bogs and lichen), while woody plants and species with low tolerance to soil flow more or less lack
JF.b|nb|<class>|flytjord
JF.b|nb|<description>|flytjordsmark med dominans av arter som har stor toleranse overfor jordflyt (små levermoser, noen bladmoser og lav), mens vedvekster og arter med lav toleranse overfor jordflyt mer eller mindre mangler
JV.0|en|<class>|no geothermal influence
JV.0|en|<description>|substrate and / or water temperature not significantly higher than normal for similar locations
JV.0|en|Temperature increase (Δ˚C)|< 2
JV.0|nb|<class>|ingen jordvarmeinnflytelse
JV.0|nb|<description>|substrat- og eller vanntemperatur ikke signifikant høyere enn normalt for tilsvarende steder
JV.0|nb|Temperaturøkning (Δ˚C)|< 2
JV.a|en|<class>|observable geothermal influence
JV.a|en|<description>|observable geothermal influence
JV.a|en|Temperature increase (Δ˚C)|2 - ~10
JV.a|nb|<class>|observerbart jordvarmeinfluert
JV.a|nb|<description>|temperatur tilstrekkelig mye høyere enn omgivelsene til at forskjellen i artssammensetning er observerbar eller betydelig
JV.a|nb|Temperaturøkning (Δ˚C)|2 - ~10
JV.b|en|<class>|slightly geothermal influenced
JV.b|en|<description>|temperature sufficiently much higher than the environment for the difference in species composition to be significant
JV.b|en|Temperature increase (Δ˚C)|~10 - 25
JV.b|nb|<class>|litt jordvarmeinfluert
JV.b|nb|<description>|temperatur tilstrekkelig mye høyere enn omgivelsene til at forskjellen i artssammensetning er vesentlig
JV.b|nb|Temperaturøkning (Δ˚C)|~10 - 25
JV.c|en|<class>|rather strong geothermal influence
JV.c|en|<description>|temperature so much higher than the environment that specially adapted species (bacteria) reach their optimum
JV.c|en|Temperature increase (Δ˚C)|25 - 50
JV.c|nb|<class>|desc_nbtemmelig sterkt jordvarmeinfluert
JV.c|nb|<description>|temperatur så mye høyere enn omgivelsene til at spesialtilpassete arter (bakterier) når sitt optimum
JV.c|nb|Temperaturøkning (Δ˚C)|25 - 50
JV.de|en|<class>|very strong geothermal influence
JV.de|en|<description>|proteins are denatured; significant species thinning, but substrates up to 100 ˚C may have communities of specially adapted bacteria
JV.de|en|Temperature increase (Δ˚C)|50 - 100
JV.de|nb|<class>|svært sterkt jordvarmeinfluert
JV.de|nb|<description>|proteiner denatureres; betydelig artsuttynning, men substrater opp til 100 ˚C kan ha samfunn av spesialtilpassete bakterier
JV.de|nb|Temperaturøkning (Δ˚C)|50 - 100
JV.¤|en|<class>|disruptive geothermal influence
JV.¤|en|<description>|without adhering organisms
JV.¤|en|Temperature increase (Δ˚C)|> 100
JV.¤|nb|<class>|disruptiv jord-varmeinnflytelse
JV.¤|nb|<description>|uten fastsittende organismer
JV.¤|nb|Temperaturøkning (Δ˚C)|> 100
KA.a|en|<class>|very low in calcium
KA.a|en|<description>|in woodland characterized by a small species pool with common, frugal and widespread species and occurrence of typical podsol profiles; soil typically formed by quartzite and sparagmite (and gneiss and granite; anorthosite in southwestern Norway)
KA.a|nb|<class>|svært kalkfattig
KA.a|nb|<description>|i skogsmark karakterisert ved liten artspool med vanlige, nøysomme og vidt utbredte arter og forekomst av typiske podsolprofiler; jord typisk dannet av kvartsitt og sparagmitt (og gneis og granitt; anortositt på Sørvestlandet)
KA.bc|en|<class>|fairly / slightly low in calcium
KA.bc|en|<description>|in woodland characterized by the presence of typical podsol profiles; soil typically formed by gneiss and granite (bedrock)
KA.bc|nb|<class>|temmelig/litt kalkfattig
KA.bc|nb|<description>|i skogsmark karakterisert ved forekomst av typiske podsolprofiler; jord typisk dannet av gneis og granitt (grunnfjellsbergarter)
KA.b|en|<class>|rather low in calcium
KA.b|nb|<class>|temmelig kalkfattig
