minorType_id|language_id|key|value
T4-14|en|Physiognomy|Semi-open or most often open forests dominated by heather and lichen; towards the mountain often forest or scrub forest of growth-reduced trees. The bottom layer is often completely dominated by reindeer lichen. Pine is the dominant tree species in most of the country, but birch dominates in the mountain forest in most places.
T4-14|en|Ecological characteristics|"The field layer contains few, relatively frugal and very drought-tolerant species, primarily heather, cress and cranberries. Pine peat moss occurs on wetland patches. White curl, light reindeer lichen and gray reindeer lichen are the most important species in the bottom layer, but heather gray moss can be common and / or dominate in oceanic areas. T4-C-14 occurs primarily on relatively calcareous, dry and barren soils with thin soil over rocks (""hällmarkstallskog""), but is also found on flat moraine deposits in continental areas. Where the soil is deeper, podsol profile develops. Occurrence of a few, slightly less frugal species distinguishes T4-C-14 from low forest (T4-C-13)."
T4-14|en|Terrain and aerial photo characteristics|Occurs under different exposure and inclination conditions, but especially on ridges and top areas. FF: Color in aerial photos varies depending on the dominant tree species and tree layer density, but often mosaic between gray-white (low dominance) and green (tree and shrub layer). Elements of heather give a darker color. Pine dominance (olive green) is easily distinguished from birch dominance (purer green). Texture and color consistent within and between regions.
T4-15|nb|<name>|Lav-lågurtskog
T4-15|nb|Fysiognomi|Åpen skog dominert av furu og med glissent feltsjikt karakterisert av lyng, urter og lav. I NB er T4-C-15 oftest en grunnlendt fjellbjørkeskog.
T4-15|nb|Økologisk karakteristikk|Feltsjiktet har innslag av relativt kalkkrevende og tørketolerante karplanter. Kartleggingsenheten opptrer ofte i veksling med lyng-lågurtskog (T4-C-11), lyng-kalklågurtskog (T4-C-12) og/eller lav-kalklågurtskog (T4-C-16), gjerne som randsoner mot, eller i mosaikk med nakent berg (T1) og åpen grunnlendt mark (T2). Floristisk karakteriseres T4-C-15 ved forekomst av ekstremt tørketålende, middels kalkkrevende arter som også er typiske for åpen grunnlendt mark (T2), som hvitbergknapp, blåklokke, bitterbergknapp, hårsveve, smørbukk og sølvmure. Oftest lavdominert bunnsjikt, men kan også ha et sparsomt utviklet bunnsjikt med mye strø.
T4-15|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på rygger og toppområder. FF: Farge i flyfoto varierer avhengig av dominerende treslag og tresjiktstetthet, men ofte mosaikk mellom gråhvitt (lavdominans) og grønt (tre- og busksjikt). Innslag av lyng gir mørkere farge. Furudominans (olivengrønn) skilles lett fra bjørkedominans (reinere grønn). Tekstur og farge konsistent innen og mellom regioner.
T4-15|en|<name>|Moderately lime-rich xeric forest
T4-15|en|Physiognomy|Open forest dominated by pine and with a glistening field layer characterized by heather, herbs and lichen. In NB, T4-C-15 is most often a shallow mountain birch forest.
T4-15|en|Ecological characteristics|The field layer has elements of relatively lime-demanding and drought-tolerant vascular plants. The mapping unit often alternates with heather-low-grass forest (T4-C-11), heather-low-limestone forest (T4-C-12) and / or low-limestone low-grass forest (T4-C-16), often as marginal zones towards, or in mosaic with bare rock (T1) and open shallow ground (T2). Floristically, T4-C-15 is characterized by the presence of extremely drought-tolerant, medium-lime-demanding species that are also typical of open shallow ground (T2), such as white mountain button, bluebell, bitterberg button, hair float, butterfly and silver wall. Most often low-dominated bottom layer, but can also have a sparsely developed bottom layer with a lot of litter.
T4-15|en|Terrain and aerial photo characteristics|Occurs under different exposure and inclination conditions, but especially on ridges and top areas. FF: Color in aerial photos varies depending on the dominant tree species and tree layer density, but often mosaic between gray-white (low dominance) and green (tree and shrub layer). Elements of heather give a darker color. Pine dominance (olive green) is easily distinguished from birch dominance (purer green). Texture and color consistent within and between regions.
T4-16|nb|<name>|Lav-kalklågurtskog
T4-16|nb|Fysiognomi|Åpen skog, oftest dominert av furu og med glissent feltsjikt karakterisert av urter og lav. I NB er T4-C-16 oftest en grunnlendt fjellbjørkeskog.
T4-16|nb|Økologisk karakteristikk|Feltsjiktet har innslag av svært kalkkrevende og tørketolerante karplanter. Kartleggingsenheten opptrer ofte i veksling med lyng-lågurtskog (T4-C-11), lyng-kalklågurtskog (T4-C-12) og lav-lågurtskog (T4-C-15), gjerne som randsoner mot, eller i mosaikk med nakent berg (T1) og åpen grunnlendt mark (T2). Forekommer oftest på grunnlendt mark på kalkrike bergarter. Oftest lavdominert bunnsjikt, men kan også ha et sparsomt utviklet bunnsjikt med mye strø.
T4-16|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på kalkrygger, gjerne i karstlandskap. Fargen varierer avhengig av dominerende treslag og tresjiktstetthet, men ofte mosaikk mellom gråhvitt (lavdominans) og grønt (tre og busksjikt). Innslag av lyng gir mørkere farge, i mosaikk med nakent berg ofte mer grålig farge. Furudominans (olivengrønn) skilles lett fra bjørkedominans (reinere grønn). Tekstur og farge konsistent innen regioner.
T4-16|en|<name>|Strongly lime-rich xeric forest
T4-16|en|Physiognomy|Open forest, most often dominated by pine and with a glistening field layer characterized by herbs and lichen. In NB, T4-C-16 is most often a shallow mountain birch forest.
T4-16|en|Ecological characteristics|The field layer has elements of very lime-demanding and drought-tolerant vascular plants. The mapping unit often alternates with heather-low-grass forest (T4-C-11), heather-lime-low-grass forest (T4-C-12) and low-low-grass forest (T4-C-15), often as marginal zones towards, or in mosaics with bare rock (T1) and open shallow ground (T2). Occurs most often on shallow ground on calcareous rocks. Most often low-dominated bottom layer, but can also have a sparsely developed bottom layer with a lot of litter.
T4-16|en|Terrain and aerial photo characteristics|Occurs under different exposure and slope conditions, but especially on limestone ridges, often in karst landscapes. The color varies depending on the dominant tree species and tree layer density, but often mosaic between greyish white (low dominance) and green (tree and shrub layer). Elements of heather give a darker color, in mosaic with bare rock often more greyish color. Pine dominance (olive green) is easily distinguished from birch dominance (purer green). Texture and color consistent within regions.
T4-17|nb|<name>|Storbregneskog
T4-17|nb|Fysiognomi|Åpne eller skyggefulle, frodige skoger med høy produksjon. Feltsjikt med store bregner og, i de tetteste utformingene, med bunn som nesten helt er dekket av et tjukt bregnestrølag. Finnes som storbregne-granskog i granas utbredelseområde og som storbregnebjørkeskog på Vestlandet, i Nord- Norge og i fjell-skogen. Storbregne-eike- eller bøkeskog dekker svært små arealer. Innslag av gråor i yngre hogstklasser, selje i N, er vanlig.
T4-17|nb|Økologisk karakteristikk|Permanent tilførsel av oksygenrikt sigevann; vannbevegelse parallell med markoverflata (kildevannspåvirkning). Store bregner dominerer, noen ganger nesten som reinbestander av skogburkne eller fjellburkne (mest i NB) eller smørtelg (O2–O3). Arter fra blåbærskog (T4-C-1) og svak lågurtskog (T4-C-2) inngår sammen med arter som begunstiges av eller krever kildevannspåvirkning. Forekommer på kalkfattig berggrunn, i kontinentale strøk mest som smale belter i søkk, langs bekkesig etc., i oseaniske områder noen ganger arealdekkende over større områder. Jorda er oftest et podsolprofil med en lett bregnestrøhumus.
T4-17|nb|Terreng- og flyfotokarakteristikk|I forsenkninger og slake lier, særlig i skyggefulle nordhellinger; i mindre grad begrenset til tydelige forsenkninger i oseaniske områder. Farge varierer med dominerende treslag og tresjiktstetthet. Storbregnedominans gir smaragdgrønn eller oftest mørk grønn farge. Grandominans (mørkegrønn) skilles lett fra bjørkedominans (reinere grønn). Konsistent tekstur og farge.
T4-17|en|<name>|Intermediately lime-rich tall-herb forest
T4-17|en|Physiognomy|Open or shady, lush forests with high production. Field layer with large ferns and, in the densest designs, with a bottom that is almost completely covered by a thick layer of fern litter. Available as large fern spruce forest in the spruce distribution area and as large fern birch forest in western Norway, in northern Norway and in the mountain forest. Large fern-oak or beech forest covers very small areas. Elements of gray alder in younger felling classes, willow in N, are common.
T4-17|en|Ecological characteristics|Permanent supply of oxygen-rich leachate; water movement parallel to the ground surface (spring water impact). Large ferns dominate, sometimes almost as reindeer populations of forest burkne or mountain burkne (mostly in NB) or butter algae (O2 – O3). Species from blueberry forest (T4-C-1) and weak low-grass forest (T4-C-2) are included together with species that benefit from or require spring water exposure. Occurs on calcareous bedrock, in continental areas mostly as narrow belts in depressions, along brooks, etc., in oceanic areas sometimes covering large areas. The soil is most often a podsol profile with a light fern litter humus.
T4-17|en|Terrain and aerial photo characteristics|In depressions and gentle slopes, especially in shady northern slopes; to a lesser extent limited to clear depressions in oceanic areas. Color varies with dominant wood species and wood layer density. Large fern dominance gives emerald green or most often dark green color. Grandominance (dark green) is easily distinguished from birch dominance (purer green). Consistent texture and color.
T4-18|nb|<name>|Høgstaudeskog
T4-18|nb|Fysiognomi|Åpne eller skyggefulle, svært frodige og høyproduktive skoger. Feltsjikt med opptil mannshøye urter, gras og bregner. Finnes som høgstaudegranskog i granskogsregionen og ellers som høgstaudebjørkeskog på Vestlandet, i Nord-Norge og i fjellskogen. T4- C-18 omfatter også kalkrike, fuktige edellauvskoger dominert av ask, alm eller gråor i BN og SB. Yngre suksesjonsstadier i SB og MB kan ha rikelig med gråor. Betydelig innslag av selje i No og Tr.
T4-18|nb|Økologisk karakteristikk|Kjennetegnet ved permanent tilførsel av oksygen- og kalkrikt sigevann og vannbevegelse parallelt med markoverflata (kildevannspåvirkning). Artsutvalget, inkludert dominansforholdene, varierer mye uten at det er mulig å påvise økologiske forskjeller, men den regionale variasjonen er stor. I kontinentale strøk mest som smale belter i søkk, langs bekkesig etc., i oseaniske områder noen ganger arealdekkende over større flater, typisk i lisider. Forekommer på kalkrik berggrunn og har brunjordsprofil. 
T4-18|nb|Terreng- og flyfotokarakteristikk|Utbredt i forsenkninger eller slake partier, særlig i skyggefulle nordhellinger; jo mer oseanisk klima, desto mindre grad begrenset til tydelige forsenkninger. Farge varierer avhengig av dominerende treslag og tresjiktstetthet, men er ofte smaragdgrønn eller oftest mørkt grønn ved høyt innslag av høgstauder i feltsjiktet. Grandominans (mørkegrønn) skilles lett fra bjørkedominans (reinere grønn). Tekstur og farge konsistent innen og mellom regioner.
T4-18|en|<name>|Strongly lime-rich tall-herb forest
T4-18|en|Physiognomy|Open or shady, very lush and highly productive forests. Field layer with up to man-high herbs, grass and ferns. Available as high-perennial spruce forest in the spruce forest region and otherwise as high-perennial birch forest in western Norway, northern Norway and in the mountain forest. T4- C-18 also includes calcareous, moist noble deciduous forests dominated by ash, elm or gray alder in BN and SB. Younger stages of succession in SB and MB may have plenty of gray alder. Significant element of willow in No and Tr.
T4-18|en|Ecological characteristics|Characterized by permanent supply of oxygen- and calcareous leachate and water movement parallel to the ground surface (spring water impact). The species selection, including the dominance conditions, varies a lot without it being possible to detect ecological differences, but the regional variation is large. In continental areas mostly as narrow belts in depressions, along brooks, etc., in oceanic areas sometimes covering large areas, typically in slopes. Occurs on calcareous bedrock and has a brown soil profile.
T4-18|en|Terrain and aerial photo characteristics|Widespread in depressions or gentle sections, especially in shady northern slopes; the more oceanic the climate, the less limited to clear depressions. Color varies depending on the dominant tree species and tree layer density, but is often emerald green or most often dark green with a high proportion of perennials in the field layer. Grandominance (dark green) is easily distinguished from birch dominance (purer green). Texture and color consistent within and between regions.
T4-19|nb|<name>|Litt tørkeutsatt høgstaudeskog
T4-19|nb|Fysiognomi|Oftest relativt tett til halvåpen skog dominert av gran med innblanding av furu, men annen treslagssammensetning (f.eks. dominans av edellauvtrær) forekommer også. Feltsjiktet mer glissent og mindre produktivt enn i høgstaudeskogen (T4-C-18). Karakterisert ved stort artsmangfold av urter og gras.
T4-19|nb|Økologisk karakteristikk|Kjennetegnet ved periodevis tilførsel av oksygen- og kalkrikt sigevann (sesongfuktig), men også periodevis utsatt for uttørking. Artsutvalget er en blanding av typiske ”kalkfuruskogsarter” og arter med tyngdepunkt i høgstaudeskoger. Forekommer på kalkrik berggrunn og på mer kalkfattige bergarter som tilføres sigevann fra mer kalkrike bergarter – da i tydelig kontrast til omkringliggende kalkskogsmark på konvekse terrengformer uten tydelig påvirkning fra kalkrikt sigevann. 
T4-19|nb|Terreng- og flyfotokarakteristikk|Utbredt i forsenkninger og relativt slake partier, særlig i sørvendte terrengposisjoner med god omsetning og redusert humusdannelse. FF: Varierer avhengig av dominerende treslag og tresjiktstetthet, men ofte lyst grønn ved høyt innslag av gras og urter i feltsjiktet. Grandominans (mørkegrønn) skilles lett fra furudominans (olivengrønn). Tekstur og farge konsistent innen og mellom regioner.
T4-19|en|<name>|Strongly lime-rich submesic tall-herb forest
T4-19|en|Physiognomy|Most often relatively dense to semi-open forest dominated by spruce with admixture of pine, but other tree species composition (eg dominance of noble deciduous trees) also occurs. The field layer is more glistening and less productive than in the high perennial forest (T4-C-18). Characterized by a large species diversity of herbs and grasses.
T4-19|en|Ecological characteristics|"Characterized by periodic supply of oxygen- and calcareous leachate (seasonally moist), but also periodically exposed to dehydration. The species selection is a mixture of typical ""lime pine forest species"" and species with a center of gravity in perennial forests. Occurs on calcareous bedrock and on more calcareous rocks that are supplied with leachate from more calcareous rocks - then in clear contrast to the surrounding calcareous forest land on convex terrain without clear influence from calcareous calcareous water."
T4-19|en|Terrain and aerial photo characteristics|Widespread in depressions and relatively gentle sections, especially in south-facing terrain positions with good turnover and reduced humus formation. FF: Varies depending on the dominant tree species and tree layer density, but often light green with a high proportion of grass and herbs in the field layer. Grandominance (dark green) is easily distinguished from pine dominance (olive green). Texture and color consistent within and between regions.
T4-2|nb|<name>|Svak lågurtskog
T4-2|nb|Fysiognomi|Oftest skyggefulle skoger preget av blåbærdominans samt forekomst av småbregner og noen urter, gras og moser som ikke finner nok næring i blåbærskogen. Typisk er et sammenhengende mosedekke i bunnen, på fuktmark dominans av torvmoser. Arealmessig viktigst er granskog med sparsomt innslag av boreale lauvtrær. I BN også representert ved eikeskog og bøkeskog, mens bjørkeskog dominerer store arealer i NB og landsdeler utenfor granas utbredelsesområde. Der kan også furu være dominant.
T4-2|nb|Økologisk karakteristikk|Feltsjiktet omfatter et begrenset antall arter med blåbær og dens følgearter fra blåbærskogen (inkludert småbregneutformingen) samt spredte forekomster av noe mer kalkkrevende arter som skogsveve og legeveronika. Forekommer på litt mer kalkrik berggrunn, ulike eksposisjons- og helningsforhold og et jordsmonn som vanligvis kjennetegnes av et podsolprofil, øverst med humuslag av moder-typen og som holder en relativt stabil fuktighet.
